Time,Node,X,Y,ElectricField,MagneticField
0,0,0,0,0,0
0,1,0.111111,0,0,0
0,2,0.222222,0,0,0
0,3,0.333333,0,0,0
0,4,0.444444,0,0,0
0,5,0.555556,0,0,0
0,6,0.666667,0,0,0
0,7,0.777778,0,0,0
0,8,0.888889,0,0,0
0,9,1,0,0,0
0,10,0,0.111111,0,0
0,11,0.111111,0.111111,0,0
0,12,0.222222,0.111111,0,0
0,13,0.333333,0.111111,0,0
0,14,0.444444,0.111111,0,0
0,15,0.555556,0.111111,0,0
0,16,0.666667,0.111111,0,0
0,17,0.777778,0.111111,0,0
0,18,0.888889,0.111111,0,0
0,19,1,0.111111,0,0
0,20,0,0.222222,0,0
0,21,0.111111,0.222222,0,0
0,22,0.222222,0.222222,0,0
0,23,0.333333,0.222222,0,0
0,24,0.444444,0.222222,0,0
0,25,0.555556,0.222222,0,0
0,26,0.666667,0.222222,0,0
0,27,0.777778,0.222222,0,0
0,28,0.888889,0.222222,0,0
0,29,1,0.222222,0,0
0,30,0,0.333333,0,0
0,31,0.111111,0.333333,0,0
0,32,0.222222,0.333333,0,0
0,33,0.333333,0.333333,0,0
0,34,0.444444,0.333333,0,0
0,35,0.555556,0.333333,0,0
0,36,0.666667,0.333333,0,0
0,37,0.777778,0.333333,0,0
0,38,0.888889,0.333333,0,0
0,39,1,0.333333,0,0
0,40,0,0.444444,0,0
0,41,0.111111,0.444444,0,0
0,42,0.222222,0.444444,0,0
0,43,0.333333,0.444444,0,0
0,44,0.444444,0.444444,0,0
0,45,0.555556,0.444444,0,0
0,46,0.666667,0.444444,0,0
0,47,0.777778,0.444444,0,0
0,48,0.888889,0.444444,0,0
0,49,1,0.444444,0,0
0,50,0,0.555556,0,0
0,51,0.111111,0.555556,0,0
0,52,0.222222,0.555556,0,0
0,53,0.333333,0.555556,0,0
0,54,0.444444,0.555556,0,0
0,55,0.555556,0.555556,0,0
0,56,0.666667,0.555556,0,0
0,57,0.777778,0.555556,0,0
0,58,0.888889,0.555556,0,0
0,59,1,0.555556,0,0
0,60,0,0.666667,0,0
0,61,0.111111,0.666667,0,0
0,62,0.222222,0.666667,0,0
0,63,0.333333,0.666667,0,0
0,64,0.444444,0.666667,0,0
0,65,0.555556,0.666667,0,0
0,66,0.666667,0.666667,0,0
0,67,0.777778,0.666667,0,0
0,68,0.888889,0.666667,0,0
0,69,1,0.666667,0,0
0,70,0,0.777778,0,0
0,71,0.111111,0.777778,0,0
0,72,0.222222,0.777778,0,0
0,73,0.333333,0.777778,0,0
0,74,0.444444,0.777778,0,0
0,75,0.555556,0.777778,0,0
0,76,0.666667,0.777778,0,0
0,77,0.777778,0.777778,0,0
0,78,0.888889,0.777778,0,0
0,79,1,0.777778,0,0
0,80,0,0.888889,0,0
0,81,0.111111,0.888889,0,0
0,82,0.222222,0.888889,0,0
0,83,0.333333,0.888889,0,0
0,84,0.444444,0.888889,0,0
0,85,0.555556,0.888889,0,0
0,86,0.666667,0.888889,0,0
0,87,0.777778,0.888889,0,0
0,88,0.888889,0.888889,0,0
0,89,1,0.888889,0,0
0,90,0,1,0,0
0,91,0.111111,1,0,0
0,92,0.222222,1,0,0
0,93,0.333333,1,0,0
0,94,0.444444,1,0,0
0,95,0.555556,1,0,0
0,96,0.666667,1,0,0
0,97,0.777778,1,0,0
0,98,0.888889,1,0,0
0,99,1,1,0,0
0.01,0,0,0,0,0
0.01,1,0.111111,0,0,0
0.01,2,0.222222,0,0,0
0.01,3,0.333333,0,0,0
0.01,4,0.444444,0,0,0
0.01,5,0.555556,0,0,0
0.01,6,0.666667,0,0,0
0.01,7,0.777778,0,0,0
0.01,8,0.888889,0,0,0
0.01,9,1,0,0,0
0.01,10,0,0.111111,0,0
0.01,11,0.111111,0.111111,0,0
0.01,12,0.222222,0.111111,0,0
0.01,13,0.333333,0.111111,0,0
0.01,14,0.444444,0.111111,0,0
0.01,15,0.555556,0.111111,0,0
0.01,16,0.666667,0.111111,0,0
0.01,17,0.777778,0.111111,0,0
0.01,18,0.888889,0.111111,0,0
0.01,19,1,0.111111,0,0
0.01,20,0,0.222222,0,0
0.01,21,0.111111,0.222222,0,0
0.01,22,0.222222,0.222222,0,0
0.01,23,0.333333,0.222222,0,0
0.01,24,0.444444,0.222222,0,0
0.01,25,0.555556,0.222222,0,0
0.01,26,0.666667,0.222222,0,0
0.01,27,0.777778,0.222222,0,0
0.01,28,0.888889,0.222222,0,0
0.01,29,1,0.222222,0,0
0.01,30,0,0.333333,0,0
0.01,31,0.111111,0.333333,0,0
0.01,32,0.222222,0.333333,0,0
0.01,33,0.333333,0.333333,0,0
0.01,34,0.444444,0.333333,0,0
0.01,35,0.555556,0.333333,0,0
0.01,36,0.666667,0.333333,0,0
0.01,37,0.777778,0.333333,0,0
0.01,38,0.888889,0.333333,0,0
0.01,39,1,0.333333,0,0
0.01,40,0,0.444444,0,0
0.01,41,0.111111,0.444444,0,0
0.01,42,0.222222,0.444444,0,0
0.01,43,0.333333,0.444444,0,0
0.01,44,0.444444,0.444444,0,0
0.01,45,0.555556,0.444444,0,0
0.01,46,0.666667,0.444444,0,0
0.01,47,0.777778,0.444444,0,0
